Territorial,Expediente,Estado,Naturaleza,Clase de Empresa,Municipio,Corregimiento,Vereda,Actividad,Resolución,Descriptor,Fecha Resolución
Zenufaná,ZF6-2017-4,Archivado,Jurídica,Privada,Amalfi,No registrado,Naranjal,Quemas abiertas controladas en zonas rurales,160ZF-RES1704-1678,Por la cual se inadmite una solicitud,04/04/2017
Hevéxicos,HX6-2015-1,Archivado,Jurídica,Privada,Sopetrán,No registrado,No registrada,Industrial,160HX-1511-8033,Por la cual se inadmite una solicitud,23/11/2015
Cartama,CA6-2018-7,Archivado,Natural,-No aplica-,Venecia,No registrado,Santa Rosita,No aplica,160CA-RES1811-6474,Por la cual se archiva un expediente,22/11/2018
Aburrá Norte,AN6-2019-10,Archivado,Jurídica,Privada,Girardota,No registrado,Portachuelo,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES2211-7087,Por la cual se niega un permiso,28/11/2022
Zenufaná,ZF6-2017-3,Archivado,Jurídica,Privada,Yolombó,No registrado,Cachumbal,Quemas abiertas controladas en zonas rurales,160ZF-RES1704-1679,Por la cual se inadmite una solicitud,04/04/2017
Aburrá Norte,AN6-2004-3,Archivado,Jurídica,Privada,Medellín,Altavista,Corazon,Explotación minera,130AN-1403-14933,Por la cual se archiva un expediente,25/03/2014
Aburrá Sur,AS6-2015-2,Activo,Jurídica,Privada,Itaguí,No registrado,El Ajizal,Industrial,160AS-1512-9687,Por la cual se otorga un permiso,10/12/2015
Aburrá Sur,AS6-2010-3,Archivado,Natural,-No aplica-,La Estrella,No registrado,No registrada,Emisiones transitorias (construcciones),130AS-1302-7356,Por la cual se adopta una decisión,06/02/2013
Aburrá Norte,AN6-2019-1,Activo,Jurídica,Privada,Copacabana,No registrado,El Convento,Industrial,160AN-RES2206-3290,Por la cual se traspasa un permiso,09/06/2022
Tahamíes,TH6-2015-3,Archivado,Jurídica,Privada,Yarumal,No registrado,No registrada,No aplica,160TH-RES1804-2018,Por la cual se adopta una decisión,18/04/2018
Zenufaná,ZF6-2010-1,Archivado,Jurídica,Privada,Vegachí,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1206-5225,Por la cual se adopta una decisión,07/06/2012
Zenufaná,ZF6-2004-18,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1202-4987,Por la cual se adopta una decisión,06/02/2012
Zenufaná,ZF6-2005-1,Archivado,Natural,-No aplica-,Remedios,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),130ZF-1105-4476,Por la cual se adopta una decisión,16/05/2011
Tahamíes,TH6-2005-2,Archivado,Natural,-No aplica-,Carolina Del Príncipe,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130TH-4399,Por la cual se niega un permiso de emisiones atmosféricas para fuentes fijas,05/07/2005
Panzenú,PZ6-2013-1,Activo,Jurídica,Privada,Caucasia,No registrado,No registrada,Industrial,130PZ-1412-3069,Por la cual se otorga un permiso,26/12/2014
Zenufaná,ZF6-2005-4,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Emisiones de contaminantes por explotación minera,130ZF-1105-4452,Por la cual se adopta una decisión,12/05/2011
Aburrá Norte,AN6-2005-5,Archivado,Jurídica,Privada,Medellín,San Cristobal,Las Playas,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES1904-1723,Por la cual se resuelve un recurso de reposición,03/04/2019
Zenufaná,ZF6-2021-1,Archivado,Natural,-No aplica-,Yolombó,No registrado,Resumideros,No aplica,160ZF-RES2107-4240,Por la cual se resuelve un recurso de reposición,15/07/2021
Aburrá Norte,AN6-2004-4,Archivado,Jurídica,Privada,Bello,No registrado,La Primavera,Explotación minera,130AN-3843,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,24/10/2005
Panzenú,PZ6-2000-1,Archivado,Jurídica,Privada,El Bagre,No registrado,No registrada,Industrial,130PZ-1380,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,10/07/2007
