Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Aburrá Norte,AN8-2019-43,01/17/2020 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-27,04/26/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Hevéxicos,HX8-2008-6,03/02/2012 12:00:00 AM,Archivado,Jurídica,Privada,Olaya,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2006-7,11/04/2015 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Gaviones,Permanente
Cartama,CA8-2008-10,07/23/2012 12:00:00 AM,Archivado,Natural,-No aplica-,Jericó,Otras Obras y Construcciones,Permanente
Cartama,CA8-2013-10,05/24/2018 12:00:00 AM,Activo,Jurídica,Privada,Jericó,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2014-23,09/08/2014 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Citará,CI8-2014-3,02/06/2015 12:00:00 AM,Archivado,Jurídica,Privada,Andes,Puente,Permanente
Cartama,CA8-2003-1,03/01/2004 12:00:00 AM,Archivado,Jurídica,Privada,Caramanta,Otras Obras y Construcciones,Provisional
Aburrá Sur,AS8-2011-16,04/24/2012 12:00:00 AM,Archivado,Jurídica,Pública,La Estrella,Puente,Permanente
Hevéxicos,HX8-2009-9,10/22/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Liborina,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2014-3,08/15/2023 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2017-22,08/20/2019 12:00:00 AM,Archivado,Jurídica,Pública,Copacabana,Otras Obras y Construcciones,Permanente
Citará,CI8-2021-88,02/18/2022 12:00:00 AM,Archivado,Natural,-No aplica-,Salgar,Puente,Permanente
Hevéxicos,HX8-2006-8,07/29/2013 12:00:00 AM,Archivado,Natural,-No aplica-,Ebéjico,Canalización Trapezoidal,Permanente
Aburrá Sur,AS8-2019-57,10/16/2019 12:00:00 AM,Archivado,Natural,-No aplica-,Caldas,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2022-66,12/12/2022 12:00:00 AM,Activo,Jurídica,Pública,Donmatías,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2022-18,12/14/2022 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2008-1,02/10/2009 12:00:00 AM,Archivado,Jurídica,Privada,Nechí,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2014-78,09/25/2015 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-61,04/13/2015 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2012-1,03/21/2018 12:00:00 AM,Archivado,Jurídica,Pública,Nechí,Muro contención en concreto,Permanente
Panzenú,PZ8-2021-66,10/18/2024 12:00:00 AM,Activo,Jurídica,Privada,Nechí,Cobertura en Cajón,Permanente
Cartama,CA8-2019-23,05/29/2019 12:00:00 AM,Archivado,Natural,-No aplica-,Jericó,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2019-90,04/27/2020 12:00:00 AM,Archivado,Jurídica,Privada,Amagá,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2008-20,02/06/2009 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2008-14,12/28/2012 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Alcantarillado,Permanente
Aburrá Sur,SAE8-2007-3,07/29/2008 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Puente,Permanente
Aburrá Norte,AN8-2003-16,02/13/2004 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Alcantarillado,Permanente
Panzenú,PZ8-2020-110,04/09/2021 12:00:00 AM,Activo,Jurídica,Pública,El Bagre,Canalización Triangular o en V,Permanente
Aburrá Norte,AN8-2019-95,07/30/2020 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2023-50,06/04/2024 12:00:00 AM,Activo,Jurídica,-No aplica-,Barbosa,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2009-28,09/30/2019 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Cartama,CA8-2002-2,08/12/2010 12:00:00 AM,Activo,Natural,-No aplica-,Venecia,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2001-5,12/20/2001 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2004-3,09/18/2023 12:00:00 AM,Archivado,Natural,-No aplica-,Girardota,Otras Obras y Construcciones,Permanente
